教材,年级,册别,单元,单词,中文释义,音标,词性
外研版,七年级,下册,1,chocolate,巧克力，朱古力,/ˈtʃɒklət/,n.
外研版,七年级,下册,1,factory,工厂，制造厂,/ˈfæktri/,n.
外研版,七年级,下册,1,exciting,令人兴奋的；使人激动的；刺激的,/ɪkˈsaɪtɪŋ/,adj.
外研版,七年级,下册,1,magical,奇异的，美妙的，迷人的,/ˈmædʒɪkl/,adj.
外研版,七年级,下册,1,town,镇，城镇，市镇,/taʊn/,n.
外研版,七年级,下册,1,poor,贫穷的，贫困的,/pɔː/,adj.
外研版,七年级,下册,1,watery,（食物）稀薄的，含水太多的；（饮料）味淡的,/ˈwɔːtəri/,adj.
外研版,七年级,下册,1,cabbage,卷心菜，洋白菜，甘蓝,/ˈkæbɪdʒ/,n.
外研版,七年级,下册,1,freezing,极冷的，严寒的,/ˈfriːzɪŋ/,adj.
外研版,七年级,下册,1,become,变成，变得,/bɪˈkʌm/,v.
外研版,七年级,下册,1,touch,感动，触动，打动,/tʌtʃ/,v.
外研版,七年级,下册,1,sunless,无阳（日）光的,/ˈsʌnləs/,adj.
外研版,七年级,下册,1,reason,原因，理由,/ˈriːzn/,n.
外研版,七年级,下册,1,everything,每件事物；所有事物,/ˈevriθɪŋ/,pron.
外研版,七年级,下册,1,rich,有钱的，富有的,/rɪtʃ/,adj.
外研版,七年级,下册,1,chess,国际象棋,/tʃes/,n.
外研版,七年级,下册,1,bath,给……洗澡,/bɑːθ/,v.
外研版,七年级,下册,1,basket,篮子；篓子；筐子,/ˈbɑːskɪt/,n.
外研版,七年级,下册,1,princess,公主,/prɪnˈses/,n.
外研版,七年级,下册,1,example,例子,/ɪɡˈzɑːmpl/,n.
外研版,七年级,下册,1,experience,经验；经历,/ɪkˈspɪəriəns/,n.
外研版,七年级,下册,1,believe,认为,/bɪˈliːv/,v.
外研版,七年级,下册,1,survey,调查,/ˈsɜːveɪ/,n.
外研版,七年级,下册,1,instruction,命令，指示,/ɪnˈstrʌkʃn/,n.
外研版,七年级,下册,1,empty,空的,/ˈempti/,adj.
外研版,七年级,下册,1,happen,发生,/ˈhæpən/,v.
外研版,七年级,下册,1,presentation,报告,/ˌpreznˈteɪʃn/,n.
外研版,七年级,下册,1,hat,帽子,/hæt/,n.
外研版,七年级,下册,1,blow,吹动；刮动,/bləʊ/,v.
外研版,七年级,下册,1,wave,挥动，摆动（某物）；（某物）上下起伏，左右摇晃,/weɪv/,v.
外研版,七年级,下册,1,voice,说话声，噪音；发声能力,/vɔɪs/,n.
外研版,七年级,下册,1,himself,他自己,/hɪmˈself/,pron.
外研版,七年级,下册,1,shame,羞愧，羞耻，惭愧,/ʃeɪm/,n.
外研版,七年级,下册,1,finally,最后，终于,/ˈfaɪnəli/,adv.
外研版,七年级,下册,1,barber,男理发师,/ˈbɑːbə/,n.
外研版,七年级,下册,1,fall,落下，降落；跌落,/fɔːl/,v.
外研版,七年级,下册,1,shoulder,肩膀,/ˈʃəʊldə/,n.
外研版,七年级,下册,1,customer,顾客，客户,/ˈkʌstəmə/,n.
外研版,七年级,下册,1,surprised,吃惊的，惊奇的，惊讶的,/səˈpraɪzd/,adj.
外研版,七年级,下册,1,scissors,剪刀,/ˈsɪzəz/,n.
外研版,七年级,下册,1,office,办公楼，办事处，公司,/ˈɒfɪs/,n.
外研版,七年级,下册,1,post office,邮政局,/pəʊst ˈɒfɪs/,phr.
外研版,七年级,下册,1,receive,得到，收到,/rɪˈsiːv/,v.
外研版,七年级,下册,1,cancer,癌（症）,/ˈkænsə/,n.
外研版,七年级,下册,1,wig,假发,/wɪɡ/,n.
外研版,七年级,下册,1,smart,聪颖的，机灵的；明智的,/smɑːt/,adj.
外研版,七年级,下册,2,last but not least,最后但同样重要的一点,/lɑːst bət nɒt liːst/,phr.
外研版,七年级,下册,2,marathon,马拉松赛跑,/ˈmærəθən/,n.
外研版,七年级,下册,2,line,线,/laɪn/,n.
外研版,七年级,下册,2,the finishing line,终点线,/ðə ˈfɪnɪʃɪŋ laɪn/,phr.
外研版,七年级,下册,2,breath,呼出的气；吸入的气,/breθ/,n.
外研版,七年级,下册,2,hold your breath,屏住呼吸；屏息静气,/həʊld jɔː breθ/,phr.
外研版,七年级,下册,2,confident,有信心的，自信的,/ˈkɒnfɪdənt/,adj.
外研版,七年级,下册,2,stomachache,胃痛；肚子痛,/ˈstʌməkeɪk/,n.
外研版,七年级,下册,2,shall,要不要……？,/ʃæl/,v.
外研版,七年级,下册,2,either,（两者中的）任何一个,/ˈaɪðə/,pron.
外研版,七年级,下册,2,choice,选择；选择权,/tʃɔɪs/,n.
外研版,七年级,下册,2,neither,两者都不（的），两者中无一（的）,/ˈnaɪðə/,pron.
外研版,七年级,下册,2,cheer,（为……）欢呼，喝彩；（为……）加油,/tʃɪə/,v.
外研版,七年级,下册,2,cross,穿过，越过，跑过（终点线、小径等）,/krɒs/,v.
外研版,七年级,下册,2,lifelong,终身的，毕生的,/ˈlaɪflɒŋ/,adj.
外研版,七年级,下册,2,dream,梦想，愿望，理想；梦,/driːm/,n.
外研版,七年级,下册,2,record,记录，记载,/ˈrekɔːd/,n.
外研版,七年级,下册,2,none,全无，没有一点,/nʌn/,pron.
外研版,七年级,下册,2,finish,完成，做完,/ˈfɪnɪʃ/,v.
外研版,七年级,下册,2,encourage,鼓励，激励,/ɪnˈkʌrɪdʒ/,v.
外研版,七年级,下册,2,both,两者，双方，两个都,/bəʊθ/,pron.
外研版,七年级,下册,2,sink,下沉，沉没,/sɪŋk/,v.
外研版,七年级,下册,2,sink or swim,自生自灭，成败全靠自己,/sɪŋk ɔː swɪm/,phr.
外研版,七年级,下册,2,surfer,冲浪者,/ˈsɜːfə/,n.
外研版,七年级,下册,2,shark,鲨（鱼）,/ʃɑːk/,n.
外研版,七年级,下册,2,attack,袭击，殴打；破坏,/əˈtæk/,v.
外研版,七年级,下册,2,lose,失去；输掉,/luːz/,v.
外研版,七年级,下册,2,surfing,冲浪（运动）,/ˈsɜːfɪŋ/,n.
外研版,七年级,下册,2,compare,相比较；可媲美,/kəmˈpeə/,v.
外研版,七年级,下册,2,surfboard,冲浪板,/ˈsɜːfbɔːd/,n.
外研版,七年级,下册,2,wave,浪潮；海浪,/weɪv/,n.
外研版,七年级,下册,2,gold,金质的,/ɡəʊld/,adj.
外研版,七年级,下册,2,medal,奖牌；勋章,/ˈmedl/,n.
外研版,七年级,下册,2,success,成功，胜利，成就,/səkˈses/,n.
外研版,七年级,下册,2,fit,健壮的，健康的,/fɪt/,adj.
外研版,七年级,下册,2,final,决赛,/ˈfaɪnl/,n.
外研版,七年级,下册,2,match,体育比赛，竞赛,/mætʃ/,n.
外研版,七年级,下册,2,attention,注意，专心，留心,/əˈtenʃn/,n.
外研版,七年级,下册,2,pay attention,注意,/peɪ əˈtenʃn/,phr.
外研版,七年级,下册,2,continue,（使）继续；（使）延续,/kənˈtɪnjuː/,v.
外研版,七年级,下册,2,fight,努力争取，为（……）斗争,/faɪt/,v.
外研版,七年级,下册,2,score,（在运动、比赛或考试中）得（分）,/skɔː/,v.
外研版,七年级,下册,2,goal,进球；进球得分；目标,/ɡəʊl/,n.
外研版,七年级,下册,2,victory,胜利，成功，赢,/ˈvɪktəri/,n.
外研版,七年级,下册,2,chance,机会,/tʃɑːns/,n.
外研版,七年级,下册,2,wonder,想要知道,/ˈwʌndə/,v.
外研版,七年级,下册,2,courage,勇气，胆量，勇敢,/ˈkʌrɪdʒ/,n.
外研版,七年级,下册,2,thanks to,多亏；幸亏；归功于,/θæŋks tuː/,phr.
外研版,七年级,下册,2,spirit,（某一特定历史时期、地方或群体的）精神，风气,/ˈspɪrɪt/,n.
外研版,七年级,下册,3,delicious,令人愉快的；美味的,/dɪˈlɪʃəs/,adj.
外研版,七年级,下册,3,taste,味道；有……的味道,/teɪst/,n./v.
外研版,七年级,下册,3,beef,牛肉,/biːf/,n.
外研版,七年级,下册,3,carrot,胡萝卜,/ˈkærət/,n.
外研版,七年级,下册,3,mutton,羊肉,/ˈmʌtn/,n.
外研版,七年级,下册,3,fat,肥胖的；脂肪,/fæt/,adj./n.
外研版,七年级,下册,3,hen,母鸡,/hen/,n.
外研版,七年级,下册,3,pot,（通常为金属制成的圆而深的）锅,/pɒt/,n.
外研版,七年级,下册,3,onion,洋葱（头）,/ˈʌnjən/,n.
外研版,七年级,下册,3,pancake,薄煎（烤，烙）饼,/ˈpænkeɪk/,n.
外研版,七年级,下册,3,porridge,粥,/ˈpɒrɪdʒ/,n.
外研版,七年级,下册,3,plain,无装饰的，简单的，朴素的，单纯的,/pleɪn/,adj.
外研版,七年级,下册,3,menu,（尤指餐馆的）菜单,/ˈmenjuː/,n.
外研版,七年级,下册,3,medicine,药，药物（尤指口服的药水）,/ˈmedsn/,n.
外研版,七年级,下册,3,pill,药丸，药片,/pɪl/,n.
外研版,七年级,下册,3,remain,继续，依然（保持某种状态）,/rɪˈmeɪn/,v.
外研版,七年级,下册,3,sandwich,三明治，夹心面包,/ˈsænwɪtʃ/,n.
外研版,七年级,下册,3,pie,水果馅饼，派,/paɪ/,n.
外研版,七年级,下册,3,pepper,胡椒粉,/ˈpepə/,n.
外研版,七年级,下册,3,slice,片，薄片，切片,/slaɪs/,n.
外研版,七年级,下册,3,beat,搅拌，搅打,/biːt/,v.
外研版,七年级,下册,3,salt,盐，食盐,/sɔːlt/,n.
外研版,七年级,下册,3,oil,植物油，动物油,/ɔɪl/,n.
外研版,七年级,下册,3,pan,（长柄有盖的）锅；平底锅,/pæn/,n.
外研版,七年级,下册,3,mixture,（尤指烹饪中的）混合液，混合料,/ˈmɪkstʃə/,n.
外研版,七年级,下册,3,stir,搅，搅拌，搅动,/stɜː/,v.
外研版,七年级,下册,3,plate,盘，碟,/pleɪt/,n.
外研版,七年级,下册,3,firm,结实的，坚实的,/fɜːm/,adj.
外研版,七年级,下册,3,recipe,烹饪法；食谱,/ˈresəpi/,n.
外研版,七年级,下册,3,ingredient,（烹调用的）成分，食材,/ɪnˈɡriːdiənt/,n.
外研版,七年级,下册,3,diet,日常饮食，日常食物,/ˈdaɪət/,n.
外研版,七年级,下册,3,salad,蔬菜沙拉,/ˈsæləd/,n.
外研版,七年级,下册,3,hamburger,汉堡包,/ˈhæmbɜːɡə/,n.
外研版,七年级,下册,3,snack,（正餐以外的）小吃，点心,/snæk/,n.
外研版,七年级,下册,3,chip,炸马铃薯条,/tʃɪp/,n.
外研版,七年级,下册,3,dangerous,危险的，有危害的,/ˈdeɪndʒərəs/,adj.
外研版,七年级,下册,3,border,边界；边境,/ˈbɔːdə/,n.
外研版,七年级,下册,3,Western,（观念或方式）西方的；欧美的,/ˈwestən/,adj.
外研版,七年级,下册,3,dessert,（饭后的）甜点，甜食，甜品,/dɪˈzɜːt/,n.
外研版,七年级,下册,3,dynasty,朝代,/ˈdɪnəsti/,n.
外研版,七年级,下册,3,store,贮藏，贮存，积蓄,/stɔː/,v.
外研版,七年级,下册,3,folk,民间的，民俗的,/fəʊk/,adj.
外研版,七年级,下册,3,tale,故事,/teɪl/,n.
外研版,七年级,下册,3,emperor,皇帝,/ˈempərə/,n.
外研版,七年级,下册,3,stomach,胃,/ˈstʌmək/,n.
外研版,七年级,下册,3,Iranian,伊朗人,/ɪˈreɪniən/,n.
外研版,七年级,下册,3,flat,平的，平坦的,/flæt/,adj.
外研版,七年级,下册,3,twin,双胞胎之一的,/twɪn/,adj.
外研版,七年级,下册,3,bridge,（事物之间的）桥梁，纽带；桥,/brɪdʒ/,n.
外研版,七年级,下册,4,dull,愚笨的，迟钝的,/dʌl/,adj.
外研版,七年级,下册,4,imagine,想象,/ɪˈmædʒɪn/,v.
外研版,七年级,下册,4,alone,单独，独自,/əˈləʊn/,adv.
外研版,七年级,下册,4,might,也许，可能，大概,/maɪt/,v.
外研版,七年级,下册,4,tool,工具,/tuːl/,n.
外研版,七年级,下册,4,list,名单，清单，目录,/lɪst/,n.
外研版,七年级,下册,4,choose,挑选，选择,/tʃuːz/,v.
外研版,七年级,下册,4,novel,（长篇）小说,/ˈnɒvl/,n.
外研版,七年级,下册,4,magazine,杂志，期刊,/ˌmæɡəˈziːn/,n.
外研版,七年级,下册,4,solar,利用太阳能的,/ˈsəʊlə/,adj.
外研版,七年级,下册,4,media,媒体；传媒,/ˈmiːdiə/,n.
外研版,七年级,下册,4,bored,厌烦的，不感兴趣的；烦闷的,/bɔːd/,adj.
外研版,七年级,下册,4,feeling,感觉,/ˈfiːlɪŋ/,n.
外研版,七年级,下册,4,lift,使（情况）改善；使（某人）更快乐,/lɪft/,v.
外研版,七年级,下册,4,lift sb's spirits,使某人开心起来,/lɪft ˈsʌmbədiz ˈspɪrɪts/,phr.
外研版,七年级,下册,4,funny,使人发笑的，有趣的；滑稽的,/ˈfʌni/,adj.
外研版,七年级,下册,4,moment,某一时刻,/ˈməʊmənt/,n.
外研版,七年级,下册,4,youthful,年轻的,/ˈjuːθfl/,adj.
外研版,七年级,下册,4,invite,邀请,/ɪnˈvaɪt/,v.
外研版,七年级,下册,4,number,数目；数量,/ˈnʌmbə/,n.
外研版,七年级,下册,4,a number of,一些,/ə ˈnʌmbər əv/,phr.
外研版,七年级,下册,4,able,有能力做……的，会做……的,/ˈeɪbl/,adj.
外研版,七年级,下册,4,daily,每日的，每天的,/ˈdeɪli/,adj.
外研版,七年级,下册,4,daily life,日常生活,/ˈdeɪli laɪf/,phr.
外研版,七年级,下册,4,housework,家务（劳动）,/ˈhaʊswɜːk/,n.
外研版,七年级,下册,4,unforgettable,难以忘怀的,/ˌʌnfəˈɡetəbl/,adj.
外研版,七年级,下册,4,insect,昆虫,/ˈɪnsekt/,n.
外研版,七年级,下册,4,large,巨大的,/lɑːdʒ/,adj.
外研版,七年级,下册,4,mosquito,蚊子,/məˈskiːtəʊ/,n.
外研版,七年级,下册,4,set,确立,/set/,v.
外研版,七年级,下册,4,interest,兴趣,/ˈɪntrəst/,n.
外研版,七年级,下册,4,butterfly,蝴蝶,/ˈbʌtəflaɪ/,n.
外研版,七年级,下册,4,prince,王子,/prɪns/,n.
外研版,七年级,下册,4,monster,妖怪；怪兽；怪物,/ˈmɒnstə/,n.
外研版,七年级,下册,4,notice,看到；听到；感觉到；注意到,/ˈnəʊtɪs/,v.
外研版,七年级,下册,4,form,形式，方式,/fɔːm/,n.
外研版,七年级,下册,4,social,社交的,/ˈsəʊʃl/,adj.
外研版,七年级,下册,4,screen,屏幕,/skriːn/,n.
外研版,七年级,下册,4,couch,长沙发,/kaʊtʃ/,n.
外研版,七年级,下册,4,couch potato,老泡在电视机前的人,/kaʊtʃ pəˈteɪtəʊ/,phr.
外研版,七年级,下册,4,sore,疼痛的；酸痛的,/sɔː/,adj.
外研版,七年级,下册,4,neck,颈，脖子,/nek/,n.
外研版,七年级,下册,4,deaf,耳聋的，失聪的,/def/,adj.
外研版,七年级,下册,4,be deaf to sth,不愿听某事，不肯听取某事,/bi def tə sʌmθɪŋ/,phr.
外研版,七年级,下册,4,balanced,均衡的,/ˈbælənst/,adj.
外研版,七年级,下册,4,jog,慢跑,/dʒɒɡ/,v.
外研版,七年级,下册,4,fresh,新鲜的,/freʃ/,adj.
外研版,七年级,下册,4,tennis,网球（运动）,/ˈtenɪs/,n.
外研版,七年级,下册,4,hike,（在……）徒步旅行，远足,/haɪk/,v.
外研版,七年级,下册,4,ours,（属于）我们的,/aʊəz/,pron.
外研版,七年级,下册,5,plateau,高原,/ˈplætəʊ/,n.
外研版,七年级,下册,5,most,最,/məʊst/,adv.
外研版,七年级,下册,5,cloud,云,/klaʊd/,n.
外研版,七年级,下册,5,soft,柔软的,/sɒft/,adj.
外研版,七年级,下册,5,brightly,明亮地,/ˈbraɪtli/,adv.
外研版,七年级,下册,5,sky,天，天空,/skaɪ/,n.
外研版,七年级,下册,5,calm,镇静的，沉着的；心平气和的,/kɑːm/,adj.
外研版,七年级,下册,5,above,在（……）上方,/əˈbʌv/,prep.
外研版,七年级,下册,5,express,表达；表示；表现,/ɪkˈspres/,v.
外研版,七年级,下册,5,grassland,草原,/ˈɡrɑːslænd/,n.
外研版,七年级,下册,5,field,田地，田野,/fiːld/,n.
外研版,七年级,下册,5,than,比,/ðæn/,prep.
外研版,七年级,下册,5,few,很少，不多,/fjuː/,adj.
外研版,七年级,下册,5,restaurant,饭店，餐馆,/ˈrestrɒnt/,n.
外研版,七年级,下册,5,present,礼物，赠品,/ˈpreznt/,n.
外研版,七年级,下册,5,better,更好的，较好的,/ˈbetə/,adj.
外研版,七年级,下册,5,proud,自豪的，得意的,/praʊd/,adj.
外研版,七年级,下册,5,diary,日记，日志,/ˈdaɪəri/,n.
外研版,七年级,下册,5,describe,描述，描写,/dɪˈskraɪb/,v.
外研版,七年级,下册,5,tide,海潮，潮汐,/taɪd/,n.
外研版,七年级,下册,5,metre,米，公尺,/ˈmiːtə/,n.
外研版,七年级,下册,5,exhibition,展览（会）,/ˌeksɪˈbɪʃn/,n.
外研版,七年级,下册,5,lungfish,肺鱼,/ˈlʌŋfɪʃ/,n.
外研版,七年级,下册,5,lung,肺,/lʌŋ/,n.
外研版,七年级,下册,5,scientist,科学家,/ˈsaɪəntɪst/,n.
外研版,七年级,下册,5,develop,（使）成长，（使）发展,/dɪˈveləp/,v.
外研版,七年级,下册,5,land,陆地,/lænd/,n.
外研版,七年级,下册,5,aloud,出声地,/əˈlaʊd/,adv.
外研版,七年级,下册,5,die,消失，不复存在,/daɪ/,v.
外研版,七年级,下册,5,salty,咸的，含盐的,/ˈsɔːlti/,adj.
外研版,七年级,下册,5,lie,躺，平卧,/laɪ/,v.
外研版,七年级,下册,5,surface,表面，面,/ˈsɜːfɪs/,n.
外研版,七年级,下册,5,flow,流，流动,/fləʊ/,v.
外研版,七年级,下册,5,level,水平高度；相对高度,/ˈlevl/,n.
外研版,七年级,下册,5,less,不那么多，更（较）少,/les/,det.
外研版,七年级,下册,5,suggest,暗示，暗指,/səˈdʒest/,v.
外研版,七年级,下册,5,such as,像，诸如，例如,/sʌtʃ æz/,phr.
外研版,七年级,下册,5,snake,蛇,/sneɪk/,n.
外研版,七年级,下册,5,only,唯一的，仅有的,/ˈəʊnli/,adj.
外研版,七年级,下册,5,however,然而，不过，但是,/haʊˈevə/,adv.
外研版,七年级,下册,5,wood,木头；木材；木料,/wʊd/,n.
外研版,七年级,下册,5,disappear,消失，不见,/ˌdɪsəˈpɪə/,v.
外研版,七年级,下册,5,if,假若，要是，如果,/ɪf/,conj.
外研版,七年级,下册,5,glacier,冰川,/ˈɡlæsiə/,n.
外研版,七年级,下册,5,climate,气候,/ˈklaɪmət/,n.
外研版,七年级,下册,6,airport,机场，航空站（港）,/ˈeəpɔːt/,n.
外研版,七年级,下册,6,burn,（使）身体部位灼痛；（使）火辣辣地痛,/bɜːn/,v.
外研版,七年级,下册,6,expect,预料，预期，预计,/ɪkˈspekt/,v.
外研版,七年级,下册,6,deep,（呼吸或叹息）深深的,/diːp/,adj.
外研版,七年级,下册,6,lemon,柠檬,/ˈlemən/,n.
外研版,七年级,下册,6,reply,回答，答复,/rɪˈplaɪ/,v.
外研版,七年级,下册,6,mouthful,（食物或饮料的）一口，一满口,/ˈmaʊθfʊl/,n.
外研版,七年级,下册,6,surprisingly,惊人地，使人吃惊地，出人意料地,/səˈpraɪzɪŋli/,adv.
外研版,七年级,下册,6,mask,假面具，假面,/mɑːsk/,n.
外研版,七年级,下册,6,normal,正常的,/ˈnɔːml/,adj.
外研版,七年级,下册,6,ancient,古代的,/ˈeɪnʃənt/,adj.
外研版,七年级,下册,6,further,更远,/ˈfɜːðə/,adv.
外研版,七年级,下册,6,look forward to,（兴奋地）期待，盼望,/lʊk ˈfɔːwəd tuː/,phr.
外研版,七年级,下册,6,trip,旅游；旅行，出行,/trɪp/,n.
外研版,七年级,下册,6,general,大体的，大致的,/ˈdʒenrəl/,adj.
外研版,七年级,下册,6,in general,通常，一般情况下；普遍地，总的说来,/ɪn ˈdʒenrəl/,phr.
外研版,七年级,下册,6,curious,好奇的，好打听的,/ˈkjʊəriəs/,adj.
外研版,七年级,下册,6,local,地方性的，当（本）地的,/ˈləʊkl/,adj.
外研版,七年级,下册,6,places of interest,名胜,/ˈpleɪsɪz əv ˈɪntrəst/,phr.
外研版,七年级,下册,6,hotel,宾馆，酒店,/həʊˈtel/,n.
外研版,七年级,下册,6,comfortable,舒适的，令人舒服的,/ˈkʌmftəbl/,adj.
外研版,七年级,下册,6,other,另外的，其他的,/ˈʌðə/,adj.
外研版,七年级,下册,6,waterfall,瀑布,/ˈwɔːtəfɔːl/,n.
外研版,七年级,下册,6,powerful,猛烈的，有力的,/ˈpaʊəfl/,adj.
外研版,七年级,下册,6,thunder,雷声,/ˈθʌndə/,n.
外研版,七年级,下册,6,painting,绘画（作品）,/ˈpeɪntɪŋ/,n.
外研版,七年级,下册,6,roller coaster,过山车，云霄飞车,/ˈrəʊlə ˈkəʊstə/,phr.
外研版,七年级,下册,6,huge,巨大的，庞大的；极大量的,/hjuːdʒ/,adj.
外研版,七年级,下册,6,myself,我自己,/maɪˈself/,pron.
外研版,七年级,下册,6,ant,蚂蚁,/ænt/,n.
外研版,七年级,下册,6,beauty,美，美丽，漂亮,/ˈbjuːti/,n.
外研版,七年级,下册,6,accept,接受；同意做,/əkˈsept/,v.
外研版,七年级,下册,6,award,奖，奖赏；奖品；奖金,/əˈwɔːd/,n.
外研版,七年级,下册,6,understand,了解，知道,/ˌʌndəˈstænd/,v.
外研版,七年级,下册,6,traffic,路上行驶的车辆；交通,/ˈtræfɪk/,n.
外研版,七年级,下册,6,unexplored,（地方）未曾探索的，未经勘察的,/ˌʌnɪkˈsplɔːd/,adj.
外研版,七年级,下册,6,seriously,严重地，非常,/ˈsɪəriəsli/,adv.
外研版,七年级,下册,6,end,使结束，使停止,/end/,v.
外研版,七年级,下册,6,spend,度过；花（时间）,/spend/,v.
外研版,七年级,下册,6,dream,梦想，希望,/driːm/,v.
外研版,七年级,下册,6,set out,动身踏上,/set aʊt/,phr.
外研版,七年级,下册,6,achieve,实现；（尤指经过努力）取得，达到,/əˈtʃiːv/,v.
外研版,七年级,下册,6,geographical,地理的；地理（学）的,/ˌdʒiːəˈɡræfɪkl/,adj.
外研版,七年级,下册,6,discovery,被发现的事实（事物）,/dɪˈskʌvəri/,n.
外研版,七年级,下册,6,peak,山顶，山峰；山，山岳,/piːk/,n.
外研版,七年级,下册,6,truth,事实，真相，实情,/truːθ/,n.
外研版,七年级,下册,6,climb,爬（山），登（山）,/klaɪm/,v.
外研版,七年级,下册,6,discover,发现，找到,/dɪˈskʌvə/,v.
外研版,七年级,下册,6,view,视野,/vjuː/,n.
外研版,七年级,下册,6,record,记录,/rɪˈkɔːd/,v.
外研版,七年级,下册,6,description,描述，描写，叙述,/dɪˈskrɪpʃn/,n.
